wall_time_s,element_id,active_total,active_fresh,active_stale,inactive_total,collision_count,fresh_ratio,quorum_held,cp_frozen,cycle_count
2.612,0,4,4,0,0,0,1.0,1,0,22
2.613,1,4,4,0,0,0,1.0,1,0,22
2.614,2,4,4,0,0,0,1.0,1,0,22
2.614,3,4,4,0,0,0,1.0,1,0,22
2.615,4,4,4,0,0,0,1.0,1,0,22
2.722,0,4,4,0,0,0,1.0,1,0,23
2.723,1,4,4,0,0,0,1.0,1,0,23
2.724,2,4,4,0,0,0,1.0,1,0,23
2.724,3,4,4,0,0,0,1.0,1,0,23
2.725,4,4,4,0,0,0,1.0,1,0,23
2.832,0,4,4,0,0,0,1.0,1,0,24
2.833,1,4,4,0,0,0,1.0,1,0,24
2.834,2,4,4,0,0,0,1.0,1,0,24
2.834,3,4,4,0,0,0,1.0,1,0,24
2.835,4,4,4,0,0,0,1.0,1,0,24
2.942,0,4,4,0,0,0,1.0,1,0,25
2.943,1,4,4,0,0,0,1.0,1,0,25
2.944,2,4,4,0,0,0,1.0,1,0,25
2.944,3,4,4,0,0,0,1.0,1,0,25
2.945,4,4,4,0,0,0,1.0,1,0,25
3.052,0,4,4,0,0,0,1.0,1,0,26
3.053,1,4,4,0,0,0,1.0,1,0,26
3.054,2,4,4,0,0,0,1.0,1,0,26
3.054,3,4,4,0,0,0,1.0,1,0,26
3.055,4,4,4,0,0,0,1.0,1,0,26
3.162,0,4,4,0,0,0,1.0,1,0,27
3.163,1,4,4,0,0,0,1.0,1,0,27
3.164,2,4,4,0,0,0,1.0,1,0,27
3.164,3,4,4,0,0,0,1.0,1,0,27
3.165,4,4,4,0,0,0,1.0,1,0,27
3.272,0,4,4,0,0,0,1.0,1,0,28
3.273,1,4,4,0,0,0,1.0,1,0,28
3.273,2,4,4,0,0,0,1.0,1,0,28
3.274,3,4,4,0,0,0,1.0,1,0,28
3.275,4,4,4,0,0,0,1.0,1,0,28
3.382,0,4,4,0,0,0,1.0,1,0,29
3.383,1,4,4,0,0,0,1.0,1,0,29
3.383,2,4,4,0,0,0,1.0,1,0,29
3.384,3,4,4,0,0,0,1.0,1,0,29
3.385,4,4,4,0,0,0,1.0,1,0,29
3.492,0,4,4,0,0,0,1.0,1,0,30
3.493,1,4,4,0,0,0,1.0,1,0,30
3.494,2,4,4,0,0,0,1.0,1,0,30
3.494,3,4,4,0,0,0,1.0,1,0,30
3.495,4,4,4,0,0,0,1.0,1,0,30
3.602,0,4,4,0,0,0,1.0,1,0,31
3.603,1,4,4,0,0,0,1.0,1,0,31
